date,ordenes_pais_forecast,vertical,share_vertical,ordenes_vertical_forecast,job_name
2026-04-12,45509.14142926522,alcoholic_drinks,0.0006366558350014722,28.97366043684894,forecast_share_vertical_desde_pais_future
2026-04-12,45509.14142926522,beauty,7.414946240491592e-05,3.374478371489303,forecast_share_vertical_desde_pais_future
2026-04-12,45509.14142926522,butchery,9.57608040869122e-05,4.357991976571446,forecast_share_vertical_desde_pais_future
2026-04-12,45509.14142926522,convenience,0.012888693117221043,586.5533579100097,forecast_share_vertical_desde_pais_future
2026-04-12,45509.14142926522,courier,0.0022130876230365315,100.7157176321259,forecast_share_vertical_desde_pais_future
2026-04-12,45509.14142926522,courier_business,0.023657338999388544,1076.625186363245,forecast_share_vertical_desde_pais_future
2026-04-12,45509.14142926522,dairy_products,4.965631025284405e-05,2.2598160461521526,forecast_share_vertical_desde_pais_future
2026-04-12,45509.14142926522,darkstores,0.05075278077830526,2309.7154783683873,forecast_share_vertical_desde_pais_future
2026-04-12,45509.14142926522,fashion,8.736543395041594e-05,3.9759258896786083,forecast_share_vertical_desde_pais_future
2026-04-12,45509.14142926522,flowers_and_plants,9.428021826324717e-05,4.290611786924109,forecast_share_vertical_desde_pais_future
2026-04-12,45509.14142926522,fruits_and_vegetables,0.00022715616284417971,10.337681941404975,forecast_share_vertical_desde_pais_future
2026-04-12,45509.14142926522,gourmet,3.723943975485666e-05,1.6947349305503736,forecast_share_vertical_desde_pais_future
2026-04-12,45509.14142926522,home_and_gifts,0.00045787167881618755,20.83734698770098,forecast_share_vertical_desde_pais_future
2026-04-12,45509.14142926522,hypermarket,0.05283716597761409,2404.5740591968,forecast_share_vertical_desde_pais_future
2026-04-12,45509.14142926522,just_for_adults,3.040576045286128e-05,1.3837400527136232,forecast_share_vertical_desde_pais_future
2026-04-12,45509.14142926522,pets,0.0005763109971776964,26.227418677800657,forecast_share_vertical_desde_pais_future
2026-04-12,45509.14142926522,pharmacies,0.00287815154563475,130.9822057451501,forecast_share_vertical_desde_pais_future
2026-04-12,45509.14142926522,restaurants,0.8510282353467498,38729.56432269324,forecast_share_vertical_desde_pais_future
2026-04-12,45509.14142926522,snacks_and_sweets,4.5532382054577194e-05,2.072139614533091,forecast_share_vertical_desde_pais_future
2026-04-12,45509.14142926522,supermarket,0.0002705289641316718,12.31154088938087,forecast_share_vertical_desde_pais_future
2026-04-12,45509.14142926522,tobacco,0.0010616331628582152,48.31401375451267,forecast_share_vertical_desde_pais_future
2026-04-13,37914.304177514314,alcoholic_drinks,0.0004517467677606382,17.127664364085753,forecast_share_vertical_desde_pais_future
2026-04-13,37914.304177514314,beauty,7.071516410382577e-05,2.6811162417952916,forecast_share_vertical_desde_pais_future
2026-04-13,37914.304177514314,butchery,0.0002396057020196629,9.084483469040356,forecast_share_vertical_desde_pais_future
2026-04-13,37914.304177514314,convenience,0.01031243574227262,390.9888255435947,forecast_share_vertical_desde_pais_future
2026-04-13,37914.304177514314,courier,0.0074342526194268585,281.86451514543245,forecast_share_vertical_desde_pais_future
2026-04-13,37914.304177514314,courier_business,0.01857259017667394,704.1668333227301,forecast_share_vertical_desde_pais_future
2026-04-13,37914.304177514314,dairy_products,5.3407353384858464e-05,2.0249026415495224,forecast_share_vertical_desde_pais_future
2026-04-13,37914.304177514314,darkstores,0.05781569992577866,2192.0420332218637,forecast_share_vertical_desde_pais_future
2026-04-13,37914.304177514314,electronics,4.196387302045947e-05,1.5910310461642867,forecast_share_vertical_desde_pais_future
2026-04-13,37914.304177514314,fashion,0.0001414681437641612,5.363666234102732,forecast_share_vertical_desde_pais_future
2026-04-13,37914.304177514314,flowers_and_plants,0.00025237947469106066,9.56879217159815,forecast_share_vertical_desde_pais_future
2026-04-13,37914.304177514314,fruits_and_vegetables,0.0004955083671929717,18.786854956257784,forecast_share_vertical_desde_pais_future
2026-04-13,37914.304177514314,gourmet,5.193299047780444e-05,1.969003197823432,forecast_share_vertical_desde_pais_future
2026-04-13,37914.304177514314,home_and_gifts,0.0009920229445112472,37.61185966927283,forecast_share_vertical_desde_pais_future
2026-04-13,37914.304177514314,hypermarket,0.0504976237950271,1914.5822688063422,forecast_share_vertical_desde_pais_future
2026-04-13,37914.304177514314,just_for_adults,0.00011714697272279419,4.4415459572869915,forecast_share_vertical_desde_pais_future
2026-04-13,37914.304177514314,pets,0.0007672811140375399,29.090929547281338,forecast_share_vertical_desde_pais_future
2026-04-13,37914.304177514314,pharmacies,0.004679421031668612,177.41699236934159,forecast_share_vertical_desde_pais_future
2026-04-13,37914.304177514314,restaurants,0.8429012456952854,31958.014220896777,forecast_share_vertical_desde_pais_future
2026-04-13,37914.304177514314,snacks_and_sweets,0.00011321307805130628,4.292395078109895,forecast_share_vertical_desde_pais_future
2026-04-13,37914.304177514314,supermarket,0.0003348636746190398,12.696123217506454,forecast_share_vertical_desde_pais_future
2026-04-13,37914.304177514314,tickets_and_experience,3.726540990317797e-05,1.412892086368844,forecast_share_vertical_desde_pais_future
2026-04-13,37914.304177514314,tobacco,0.003626209983606339,137.48522832998995,forecast_share_vertical_desde_pais_future
2026-04-14,38142.09080920621,alcoholic_drinks,0.0005751810055960655,21.938606147175676,forecast_share_vertical_desde_pais_future
2026-04-14,38142.09080920621,bakery,2.845430432167372e-05,1.0853066593500678,forecast_share_vertical_desde_pais_future
2026-04-14,38142.09080920621,beauty,5.1624559027294066e-05,1.9690686184042765,forecast_share_vertical_desde_pais_future
2026-04-14,38142.09080920621,butchery,0.0002461291232531636,9.387879369912472,forecast_share_vertical_desde_pais_future
2026-04-14,38142.09080920621,convenience,0.010246695213212196,390.83037931659817,forecast_share_vertical_desde_pais_future
2026-04-14,38142.09080920621,courier,0.007368704375134739,281.0577914225843,forecast_share_vertical_desde_pais_future
2026-04-14,38142.09080920621,courier_business,0.02447010517442616,933.3409736737893,forecast_share_vertical_desde_pais_future
2026-04-14,38142.09080920621,dairy_products,4.580411689528898e-05,1.7470647860556086,forecast_share_vertical_desde_pais_future
2026-04-14,38142.09080920621,darkstores,0.05527600775789778,2108.342507472124,forecast_share_vertical_desde_pais_future
2026-04-14,38142.09080920621,electronics,4.1611249449142405e-05,1.5871400551737214,forecast_share_vertical_desde_pais_future
2026-04-14,38142.09080920621,fashion,0.00011325011091880078,4.319596014817575,forecast_share_vertical_desde_pais_future
2026-04-14,38142.09080920621,flowers_and_plants,0.0002507125176942092,9.562699616897246,forecast_share_vertical_desde_pais_future
2026-04-14,38142.09080920621,fruits_and_vegetables,0.0003704004013790734,14.127845745167045,forecast_share_vertical_desde_pais_future
2026-04-14,38142.09080920621,gourmet,4.798344175122196e-05,1.8301887926133646,forecast_share_vertical_desde_pais_future
2026-04-14,38142.09080920621,home_and_gifts,0.000953444925936032,36.36638294662902,forecast_share_vertical_desde_pais_future
2026-04-14,38142.09080920621,hypermarket,0.04517194444430331,1722.9524070230348,forecast_share_vertical_desde_pais_future
2026-04-14,38142.09080920621,just_for_adults,9.097204311268265e-05,3.469863929502964,forecast_share_vertical_desde_pais_future
2026-04-14,38142.09080920621,pets,0.0006863963730570886,26.180592792253258,forecast_share_vertical_desde_pais_future
2026-04-14,38142.09080920621,pharmacies,0.004285878009403741,163.4723482318574,forecast_share_vertical_desde_pais_future
2026-04-14,38142.09080920621,restaurants,0.8456972852259681,32256.66265018804,forecast_share_vertical_desde_pais_future
2026-04-14,38142.09080920621,snacks_and_sweets,0.00011018161503070759,4.202557166006248,forecast_share_vertical_desde_pais_future
2026-04-14,38142.09080920621,supermarket,0.00034449284321334047,13.139677308964869,forecast_share_vertical_desde_pais_future
2026-04-14,38142.09080920621,tickets_and_experience,4.085594204055067e-05,1.5583310514063493,forecast_share_vertical_desde_pais_future
2026-04-14,38142.09080920621,tobacco,0.0034858852269776326,132.95895087785127,forecast_share_vertical_desde_pais_future
2026-04-15,37738.65264288114,alcoholic_drinks,0.0007510556738082798,28.343829189315716,forecast_share_vertical_desde_pais_future
2026-04-15,37738.65264288114,bakery,2.717583221294034e-05,1.0255792921653755,forecast_share_vertical_desde_pais_future
2026-04-15,37738.65264288114,beauty,5.9956854035365295e-05,2.262690888000577,forecast_share_vertical_desde_pais_future
2026-04-15,37738.65264288114,butchery,0.00019849369542814394,7.490884623564568,forecast_share_vertical_desde_pais_future
2026-04-15,37738.65264288114,convenience,0.010387620000462876,392.01478298371336,forecast_share_vertical_desde_pais_future
2026-04-15,37738.65264288114,courier,0.007422421781131846,280.1121973670899,forecast_share_vertical_desde_pais_future
2026-04-15,37738.65264288114,courier_business,0.019725563179965357,744.4161770339185,forecast_share_vertical_desde_pais_future
2026-04-15,37738.65264288114,dairy_products,4.749602907522096e-05,1.792436143185947,forecast_share_vertical_desde_pais_future
2026-04-15,37738.65264288114,darkstores,0.05585737606317955,2107.982112791117,forecast_share_vertical_desde_pais_future
2026-04-15,37738.65264288114,electronics,3.2123360539798494e-05,1.2122923451334902,forecast_share_vertical_desde_pais_future
2026-04-15,37738.65264288114,fashion,0.00012871206551843734,4.8574199315480655,forecast_share_vertical_desde_pais_future
2026-04-15,37738.65264288114,flowers_and_plants,0.00024623992421417615,9.292762966728171,forecast_share_vertical_desde_pais_future
2026-04-15,37738.65264288114,fruits_and_vegetables,0.0003487340470352897,13.16075306581097,forecast_share_vertical_desde_pais_future
2026-04-15,37738.65264288114,gourmet,6.479058793013881e-05,2.445109492423556,forecast_share_vertical_desde_pais_future
